POW,POW_original,Action,Action2,Responsible,Relationship,Topic,Cluster,Notes,Source URL
NGO,Greenpeace,Sign the petition to Theresa May to ban sales of new diesel cars,Remove polluting vehicles,Citizens,Campaign,Reduce reliance on diesel,,Add line: ban sales of new diesel cars,https://www.greenpeace.org.uk/london-takes-bold-step-clean-toxic-pollution/
NGO,Greenpeace,Ban sales of new diesel cars,Remove polluting vehicles,Central Government,Challenge,Reduce reliance on diesel,,,https://www.greenpeace.org.uk/london-takes-bold-step-clean-toxic-pollution/
NGO,Greenpeace,"If you can, walk and cycle more often, or use public transport",Promote behaviour change,Citizens,Campaign,Modal shift,,,https://www.greenpeace.org.uk/6-things-you-can-do-about-air-pollution-20170607/
NGO,Greenpeace,Consider switching to electric,Promote transition to electric and low-emission vehicles,Citizens,Campaign,Electric vehicles,,,https://www.greenpeace.org.uk/6-things-you-can-do-about-air-pollution-20170607/
NGO,Greenpeace,You can reduce traffic where you live by carpooling and combining trips.,Promote behaviour change,Citizens,Campaign,Car share,,Behaviour change?,https://www.greenpeace.org.uk/reduce-your-exposure-to-air-pollution/
NGO,Greenpeace,You can get children walking to school with walking buses.,Promote behaviour change,Citizens,Campaign,Modal shift,,Behaviour change?,https://www.greenpeace.org.uk/reduce-your-exposure-to-air-pollution/
NGO,IPPR,expansion of the car share market in his new transport strategy,Reduce car usage,Greater London Authority,Expedite or expand,Car share,,Behaviour change,https://www.ippr.org/publications/lethal-and-illegal-londons-air-pollution-crisis
NGO,IPPR,"progressive tightening of emissions standards within the low
emissions zone (covering the whole of London) for lorries, vans,
buses and taxis",Remove polluting vehicles,Greater London Authority,Challenge,low-emission zone,,,https://www.ippr.org/publications/lethal-and-illegal-londons-air-pollution-crisis
NGO,IPPR,The ultimate objective could be the phasing out of diesel vehicles altogether.,Remove polluting vehicles,Greater London Authority,Expedite or expand,Taxis,,,https://www.ippr.org/publications/lethal-and-illegal-londons-air-pollution-crisis
NGO,IPPR,introduce a diesel scrappage scheme,Remove polluting vehicles,Central Government,Challenge,Scrappage,,,https://www.ippr.org/publications/lethal-and-illegal-londons-air-pollution-crisis
Transport Providers,Transport for London,"To help tackle this, the Ultra Low Emission Zone (ULEZ) will come into force in central London. Vehicles including vans and HGVs will need to meet new emission standards to enter the Zone, or have to pay a daily charge.",Regulate space,Greater London Authority,Intervention,Ultra-low emission zone,,,https://tfl.gov.uk/info-for/deliveries-in-london/protecting-the-environment?intcmp=38103
Business,SMMT,Increase fleet renewal of cars,Remove polluting vehicles,Central Government,Challenge,Reduce reliance on diesel; low-emission vehicles; electric vehicles,,,https://www.smmt.co.uk/wp-content/uploads/sites/2/SMMT-Sustainability-Report-2017-online.pdf
Business,SMMT,"Better planning and suitable infrastructure provision, could also help ensure modal and technological shifts can be delivered.",Parking and traffic management; Promote transition to electric and low-emission vehicles,Gentral Government | Greater London Authority; Local Government | Businesses,Challenge,Modal shift; electric vehicles,,,https://www.smmt.co.uk/wp-content/uploads/sites/2/SMMT-Sustainability-Report-2017-online.pdf
Business,SMMT,Electric charging infrastructure,Support transition to electric and low-emission vehicles,Central Government | Greater London Authority | Local Government,Expedite or expand,Electric vehicles,,,
Central Government,"Department for Environment, Food & Rural Affairs","Create routes that avoid pollution hotspots, can help to make active travel more attractive as an option.",Promote behaviour change,Local Government,Direction,Modal shift,,,https://www.local.gov.uk/sites/default/files/documents/6.3091_DEFRA_AirQualityGuide_9web_0.pdf
Central Government,"Department for Environment, Food & Rural Affairs",the introduction of Clean Air Zones  ,Regulate space,Local Government,Direction,Clean Air Zones,,,https://www.local.gov.uk/sites/default/files/documents/6.3091_DEFRA_AirQualityGuide_9web_0.pdf
Central Government,"Department for Environment, Food & Rural Affairs",Introduction of parking restrictions,Parking and traffic management,Local Government,Direction,Modal shift,,,https://www.local.gov.uk/sites/default/files/documents/6.3091_DEFRA_AirQualityGuide_9web_0.pdf
Central Government,"Department for Environment, Food & Rural Affairs","Businesses also have an important role to play by introducing incentives for staff to walk or cycle to work, take up car sharing or work from home.",Promote behaviour change,Businesses,Direction,Modal shift,,,https://www.local.gov.uk/sites/default/files/documents/6.3091_DEFRA_AirQualityGuide_9web_0.pdf
Central Government,"Department for Environment, Food & Rural Affairs","We can all do our bit to improve air quality. For example, by walking or cycling to work and school we can improve our health through exercise, limit air pollution and reduce carbon dioxide emissions which are responsible for climate change.",Promote behaviour change,Citizens,Direction,Modal shift,,,https://www.local.gov.uk/sites/default/files/documents/6.3091_DEFRA_AirQualityGuide_9web_0.pdf
Central Government,"Department for Environment, Food & Rural Affairs",Street design and road layouts,Parking and traffic management,Greater London Authority| Local Government |,Direction,Modal shift,,,https://www.local.gov.uk/sites/default/files/documents/6.3091_DEFRA_AirQualityGuide_9web_0.pdf
Central Government,"Department for Environment, Food & Rural Affairs",Installing electric vehicle charging points,Support transition to electric and low-emission vehicles,Greater London Authority| Local Government| Businesses,Direction,Electric vehicles,,,https://www.local.gov.uk/sites/default/files/documents/6.3091_DEFRA_AirQualityGuide_9web_0.pdf
Central Government,"Department for Environment, Food & Rural Affairs",Promote car clubs,Reduce car usage,Greater London Authority| Local Governmen| Businesses,Direction,Car share,,,https://www.local.gov.uk/sites/default/files/documents/6.3091_DEFRA_AirQualityGuide_9web_0.pdf
Central Government,"Department for Environment, Food & Rural Affairs",Using idling powers,Enforce anti-idling initiatives,Greater London Authority| Local Government| Businesses,Direction,Anti-idling,,,https://www.local.gov.uk/sites/default/files/documents/6.3091_DEFRA_AirQualityGuide_9web_0.pdf
Central Government,"Department for Environment, Food & Rural Affairs",Forbidding the dirtiest vehicles,Remove polluting vehicles,Greater London Authority| Local Government| Businesses,Direction,Reduce reliance on diesel,,,https://www.local.gov.uk/sites/default/files/documents/6.3091_DEFRA_AirQualityGuide_9web_0.pdf
Central Government,"Department for Environment, Food & Rural Affairs","favouring clean vehicle fuels like petrol, LPG or CNG over diesel and bio-diesel",Support transition to electric and low-emission vehicles,Greater London Authority| Local Government | Businesses,Direction,Low-emission vehicles; reduce reliance on diesel,,,https://www.local.gov.uk/sites/default/files/documents/6.3091_DEFRA_AirQualityGuide_9web_0.pdf
Central Government,"Department for Business, Energy and Industrial Strategy",Accelerate uptake of electric vehicles,Support transition to electric and low-emission vehicles,Greater London Authority| Local Government | Businesses,Policy,Electric vehicles,,,https://www.gov.uk/Government/uploads/system/uploads/attachment_data/file/651916/BEIS_The_Clean_Growth_online_12.10.17.pdf
Central Government,"Department for Business, Energy and Industrial Strategy",End the sale of new conventional petrol and diesel cars and vans by 2040.,Support transition to electric and low-emission vehicles,Central Government ,Policy,Reduce reliance on diesel; low-emission vehicles; electric vehicles,,,https://www.gov.uk/Government/uploads/system/uploads/attachment_data/file/651916/BEIS_The_Clean_Growth_online_12.10.17.pdf
Central Government,"Department for Business, Energy and Industrial Strategy","Spend 1£ billion supporting the take-up of ultra low emission vehicles (ULEV), including helping consumers to overcome the upfront cost of an electric car.",Support transition to electric and low-emission vehicles,Citizens,Funding,Electric vehicles,,,https://www.gov.uk/Government/uploads/system/uploads/attachment_data/file/651916/BEIS_The_Clean_Growth_online_12.10.17.pdf
Central Government,"Department for Business, Energy and Industrial Strategy",£50 million funding for Plug-in Taxi programme to subsidise purchase of new ultra-low emission vehicle taxi.,Support transition to electric and low-emission vehicles,Transport Providers,Funding,Taxis,,,https://www.gov.uk/Government/uploads/system/uploads/attachment_data/file/651916/BEIS_The_Clean_Growth_online_12.10.17.pdf
Central Government,"Department for Business, Energy and Industrial Strategy",£14 million funding for 10 local areas to deliver dedicated charge points for taxis.,Support transition to electric and low-emission vehicles,Local Government,Funding,Taxis,,,https://www.gov.uk/Government/uploads/system/uploads/attachment_data/file/651916/BEIS_The_Clean_Growth_online_12.10.17.pdf
Central Government,"Department for Business, Energy and Industrial Strategy",Invest 1.2£ billion to make cycling and walking the natural choice for journeys.,Reduce car usage,Central Government| Greater London Authority| Local Government,Funding,Modal shift,,,https://www.gov.uk/Government/uploads/system/uploads/attachment_data/file/651916/BEIS_The_Clean_Growth_online_12.10.17.pdf
Central Government,"Department for Business, Energy and Industrial Strategy",Invest around 841£ million of public funds in innovation in low carbon transport technology and fuels.,Support transition to electric and low-emission vehicles,Car manufacturers,Funding,Low-emission vehicles; electric vehicles,,,https://www.gov.uk/Government/uploads/system/uploads/attachment_data/file/651916/BEIS_The_Clean_Growth_online_12.10.17.pdf
Central Government,National Institute for Health and Care Excellence,"Providing charge points forelectric vehicles in workplaces, commercial developments and residential areas.",Support transition to electric and low-emission vehicles,Local Government ,Direction,Electric vehicles,,,https://www.nice.org.uk/guidance/ng70/resources/air-pollution-outdoor-air-quality-and-health-pdf-1837627509445
Central Government,National Institute for Health and Care Excellence,"Taking action to reduce the number of motorised trips, including support for car sharing schemes or car clubs.",Promote behaviour change,Local Government ,Direction,Car share,,,https://www.nice.org.uk/guidance/ng70/resources/air-pollution-outdoor-air-quality-and-health-pdf-1837627509445
Central Government,National Institute for Health and Care Excellence,Encouraging walking and cycling,Promote behaviour change,Local Government ,Direction,Modal shift,,Agreement?,https://www.nice.org.uk/guidance/ng70/resources/air-pollution-outdoor-air-quality-and-health-pdf-1837627509445
Central Government,National Institute for Health and Care Excellence,"Bylaws and other action to support 'no vehicle idling' areas, particularly where vulnerable groups congregate (such as outside schools, hospitals and care homes) and in areas where exposure to road-traf c-related air pollution is high.",Enforce anti-idling initiatives,Local Government ,Direction,Anti-idling,,Agreement?,https://www.nice.org.uk/guidance/ng70/resources/air-pollution-outdoor-air-quality-and-health-pdf-1837627509445
Central Government,National Institute for Health and Care Excellence,"Consider making low vehicle emissions (nitrogen oxides and particles) one of the criteria when making routine procurement decisions. This could include selecting low-emission vehicles, including electric vehicles.",Transition to electric cars,Local Government ,Direction,Procurement,,Agreement?,https://www.nice.org.uk/guidance/ng70/resources/air-pollution-outdoor-air-quality-and-health-pdf-1837627509445
Central Government,National Institute for Health and Care Excellence,"Where physical speed reduction measures are used to reduce road danger and injuries (20 mph zones – see NICE's guideline on unintentional injuries on the road), consider using them to encourage drivers to maintain a reduced, steady pace along the whole stretch of road, rather than road humps that may increase acceleration- and braking-related emissions.",Promote behaviour change,Local Government ,Direction,Reduce emissions,,,https://www.nice.org.uk/guidance/ng70/resources/air-pollution-outdoor-air-quality-and-health-pdf-1837627509445
Central Government,National Institute for Health and Care Excellence,"Provide a choice of cycle routes, including routes that avoid highly polluted roads. Ideally use quiet streets or segregated routes.",Traffic and parking management,Local Government ,Direction,Modal shift,,,https://www.nice.org.uk/guidance/ng70/resources/air-pollution-outdoor-air-quality-and-health-pdf-1837627509445
Central Government,National Institute for Health and Care Excellence,"Drive in a style that minimises emissions by: avoiding rapid accelerations and decelerations, restricting the time spent with an engine 'idling' and ensuring the vehicle is correctly maintained (see the Energy Saving Trust's driving advice).",Promote behaviour change,Citizens,Campaign,Reduce emissions,,Reduce emissions,https://www.nice.org.uk/guidance/ng70/resources/air-pollution-outdoor-air-quality-and-health-pdf-1837627509445
Central Government,National Institute for Health and Care Excellence,Consider public awareness initiatives such as car-free days or National Clean  Air Day to raise awareness of air pollution.  ,Remove polluting vehicles,Local Government ,Direction,Modal shift; raise awareness,,,https://www.nice.org.uk/guidance/ng70/resources/air-pollution-outdoor-air-quality-and-health-pdf-1837627509445
Central Government,National Institute for Health and Care Excellence,Encourage employees to cycle to work (see NICE's guideline on physical activity: walking and cycling).,Reduce car usage,Local Government| businesses,Direction,Modal shift,,,https://www.nice.org.uk/guidance/ng70/resources/air-pollution-outdoor-air-quality-and-health-pdf-1837627509445
Devolved Government,Greater London Authority,"We recommend that the Government adopts the Healthy Streets Approach advocated by Transport for London which considers our streets more holistically, with a more sensible focus on reducing traffic and promoting walking, cycling and public transport.",Traffic and parking management; promote behaviour change,Central Government,Challenge,Modal shift,,,https://www.london.gov.uk/sites/default/files/gla_response_to_defra_aq_plan_final_for_submission_15_june_2017.pdf
Devolved Government,Greater London Authority,"The Government should set out clear proposals for a national vehicle scrappage fund, which would help accelerate compliance, improve the effectiveness of Clean Air Zones and ensure that legal compliance is achieved in as fair a way as possible.",Remove polluting vehicles,Central Government,Challenge,Scrappage,,,https://www.london.gov.uk/sites/default/files/gla_response_to_defra_aq_plan_final_for_submission_15_june_2017.pdf
Devolved Government,Greater London Authority,"Government needs to support for innovative retrofit technology and the ever growing supply chain for electric and alternatively fuelled vehicles, which are both vital for people wanting to upgrade their fleets in preparation for Clean Air Zones.",Transition to electric and low-emission vehicles,Central Government,Expedite or expand,Reduce emissions; low-emission vehicles; electric vehicles,,One or two? Agree?,https://www.london.gov.uk/sites/default/files/gla_response_to_defra_aq_plan_final_for_submission_15_june_2017.pdf
Devolved Government,Greater London Authority,The Government has a legal duty to lobby for stricter vehicle testing regimes,Regulate vehicles,Central Government,Agree,Euro standards,,Challenge? Agree?,https://www.london.gov.uk/sites/default/files/gla_response_to_defra_aq_plan_final_for_submission_15_june_2017.pdf
Devolved Government,Greater London Authority,"Government has a critical role to play in undertaking additional research to further understand this issue [red. emissions from tyre and brake wear], and then putting in place appropriate steps to reduce this emissions source. This might include incentives for consumers and manufacturers and wider measures to promote active travel and clean public transport.",Fund research,Central Government,Expedite or expand,Monitor and understand pollution,,,https://www.london.gov.uk/sites/default/files/gla_response_to_defra_aq_plan_final_for_submission_15_june_2017.pdf
Devolved Government,Greater London Authority,"Introducing an Emissions Surcharge (dubbed the ‘T-Charge) on top of the Congestion Charge, which will remove older polluting vehicles from central London this year (starting 23 October 2017).",Regulate space,Greater London Authority,Intervention,T-Charge,,,https://www.london.gov.uk/sites/default/files/gla_response_to_defra_aq_plan_final_for_submission_15_june_2017.pdf
Devolved Government,Greater London Authority,"Launching the world’s first Ultra Low Emission Zone (ULEZ), which puts in place minimum emission standards for all vehicles (excluding taxis, whose emissions are addressed through separate licensing requirements). The Mayor proposes (subject to consultation) to apply these standards in central London from 8 April 2019, which has been brought forward from September 2020. They will then apply, in outer London for buses, coaches and lorries by 2020 and in inner London for all vehicles except taxis by 2021.",Regulate space,Greater London Authority,Intervention,Ultra-low emission zone,,,https://www.london.gov.uk/sites/default/files/gla_response_to_defra_aq_plan_final_for_submission_15_june_2017.pdf
Devolved Government,Greater London Authority,"£65 million funding for the trade to help upgrade taxis to much cleaner, ‘zero emission capable’ vehicles.",Support transition to electric and low-emission vehicles,Taxi and private hire vehicle operators,Funding,Taxis,,,https://www.london.gov.uk/sites/default/files/gla_response_to_defra_aq_plan_final_for_submission_15_june_2017.pdf
Devolved Government,Greater London Authority,"Establishing a Cleaner Vehicle Checker, enabling Londoners to check the real world emissions from a vehicle they may be considering buying.",Regulate vehicles,Greater London Authority,Intervention,Regulate vehicles,,,https://www.london.gov.uk/sites/default/files/gla_response_to_defra_aq_plan_final_for_submission_15_june_2017.pdf
Devolved Government,Greater London Authority,"In addition to bringing forward the central London ULEZ, the Mayor proposes (subject to the development of detailed proposals and consultation) that the ULEZ is expanded to Inner London by 2021 for light vehicle (cars, vans, minibuses and motorbikes), covering an area up to the North/ South Circular. It is also proposed that by 2020 the ULEZ is expanded Londonwide for heavy vehicles, which will result in only an estimated 1 per cent of road length in Outer London remaining in exceedance of the NO2 limit values after 2020: primarily on the North Circular and around Heathrow (which is a matter for national policy). The expansion of the ULEZ for light vehicles to Outer London would affect an additional circa 1.7 million households. It is likely that targeted local measures such as local road closures, vehicle restrictions or other interventions could be equally effective and as likely to bring this remaining 1 per cent of road length into compliance, and in a quicker timeframe. The Mayor will keep the situation under review and consider what measures will be most effective and likely to secure equivalent compliance on those Outer London roads in the shortest time possible.",Regulate space,Greater London Authority,Intervention,Ultra-low emission zone,,,https://www.london.gov.uk/sites/default/files/gla_response_to_defra_aq_plan_final_for_submission_15_june_2017.pdf
Devolved Government,Greater London Authority,"A national retrofit certification scheme to further reduce compliance costs to businesses. This has been promised, but detail is yet to be announced and this needs expediting as a matter of urgency. Support to build UK industrial capacity and skills in this area is also required.",Regulate vehicles,Central Government,Expedite or expand,Reduce emissions,,Challenge/agree,https://www.london.gov.uk/sites/default/files/gla_response_to_defra_aq_plan_final_for_submission_15_june_2017.pdf
Devolved Government,Greater London Authority,"Amending pro-diesel taxes like Vehicle Excise Duty (VED), Company Car Tax and other tax incentives should be amended to remove the financial incentive to purchase diesel and only encourage ultra low emission vehicles. In their publication “Lethal and illegal: solving London’s air pollution crisis” IPPR showed that a strong package of national fiscal incentives to encourage a mainstream switch away from diesel, combined with local action such as those discussed above, could bring 99.96% of London below the limit value.6 The Mayor will shortly be writing to the Chancellor setting out his fiscal proposals relating to air quality in more detail.",Tax polluting vehicles,Central Government,Challenge,Tax diesel,,,https://www.london.gov.uk/sites/default/files/gla_response_to_defra_aq_plan_final_for_submission_15_june_2017.pdf
Devolved Government,Greater London Authority,"Fiscal reform should be complemented by a national ‘Cleaner Vehicle Checker’ or car labelling scheme, similar to that being implemented by the Mayor.",Regulate vehicles,Central Government,Challenge,Regulate vehicles,,,https://www.london.gov.uk/sites/default/files/gla_response_to_defra_aq_plan_final_for_submission_15_june_2017.pdf
Devolved Government,Greater London Authority,Accelerating the uptake of electric vehicles and charging infrastructure by addressing structural power grid barriers and providing additional funding through Office for Low Emission Vehicles.,Support transition to electric and low-emission vehicles,Central Government,Expedite or expand,Electric vehicles,,,https://www.london.gov.uk/sites/default/files/gla_response_to_defra_aq_plan_final_for_submission_15_june_2017.pdf
Devolved Government,Greater London Authority,Commit to providing the necessary funding to convert all UK black taxis to zero emission capable models by 2025  and scrap older diesel taxis.,Remove polluting vehicles,Central Government,Expedite or expand,Taxis,,,https://www.london.gov.uk/sites/default/files/gla_response_to_defra_aq_plan_final_for_submission_15_june_2017.pdf
Devolved Government,Greater London Authority,A commitment to updating the DVLA database to include Euro standards for all registered vehicles to help enforce charging schemes as cheaply and efficiently as possible.,Regulate vehicles,Central Government,Challenge,Euro standards,,,https://www.london.gov.uk/sites/default/files/gla_response_to_defra_aq_plan_final_for_submission_15_june_2017.pdf
Devolved Government,Greater London Authority,Preventing the illegal removal of Diesel Particulate Filters (DPF) through enhanced MOT testing and spot checks.,Regulate transport,Central Government,Challenge,Reduce reliance on diesel; regulate vehicles,,,https://www.london.gov.uk/sites/default/files/gla_response_to_defra_aq_plan_final_for_submission_15_june_2017.pdf
Devolved Government,Greater London Authority,"Work with public and private sector to deploying a rapid charging network across London which will support the introduction of zero emission capable (ZEC) taxis, private hire vehicles and other commercial vehicles. ",Support transition to electric and low-emission vehicles,Local Government| businesses,Cooperation,Electric vehicles,,,https://www.london.gov.uk/sites/default/files/gla_response_to_defra_aq_plan_final_for_submission_15_june_2017.pdf
Devolved Government,Greater London Authority,"TfL will use funding from Government, including £10m committed in the National Infrastructure Plan, to enable sites for use by charge point operators by upgrading power capacity.",Support transition to electric and low-emission vehicles,Central Government,Use funding,Electric vehicles,,,https://www.london.gov.uk/sites/default/files/gla_response_to_defra_aq_plan_final_for_submission_15_june_2017.pdf
Devolved Government,Greater London Authority,"In particular, Government must invest to ensure the grid and energy network is capable of hosting large numbers electric vehicles",Support transition to electric and low-emission vehicles,Central Government,Challenge,Electric vehicles,,Agree?,https://www.london.gov.uk/sites/default/files/gla_response_to_defra_aq_plan_final_for_submission_15_june_2017.pdf
Devolved Government,Greater London Authority,"Further Government funding will be required beyond 2020 to support the private sector in expanding charging infrastructure to meet demand, and to enable uptake for less high usage applications, such as residential onstreet charging.",Support transition to electric and low-emission vehicles,Central Government,Expedite or expand,Electric vehicles,,,https://www.london.gov.uk/sites/default/files/gla_response_to_defra_aq_plan_final_for_submission_15_june_2017.pdf
NGO,Friends of the Earth,"London’s Ultra-Low Emission Zone (ULEZ), must be in place in 2018",Regulate space,Greater London Authority,Agree,Ultra-low emission zone,,,https://cdn.friendsoftheearth.uk/sites/default/files/downloads/plan-clean-air-everywhere-103274.pdf
NGO,Friends of the Earth,"Clean Air Zonesare needed for every location in which NO2 will exceed legal limits in 2018 and must be in place by then, so that everyone can breathe air of a quality that is at least legal by the end of next year. Locations in 169 Local Authority areas are currently failing on NO2.",Regulate space,Central Government,Expedite or expand,Clean Air Zones,,,https://cdn.friendsoftheearth.uk/sites/default/files/downloads/plan-clean-air-everywhere-103274.pdf
NGO,Friends of the Earth,The plans must also require London’s ULEZ to be London-wide for all vehicles including cars,Regulate space,Greater London Authority,Expedite or expand,Ultra-low emission zone,,,https://cdn.friendsoftheearth.uk/sites/default/files/downloads/plan-clean-air-everywhere-103274.pdf
